6678 75384
702 pertinent 2
703 rebuke 1
704 shame 30
705 oft 7
706 blows 7
707 made 77
708 fled 6
709 words 33
710 soothed 1
711 hurt 4
712 weigh 2
713 scratch 2
714 head 46
715 sun 20
716 alarum 1
717 struck 8
718 idly 2
719 nothings 2
720 monster 3
721 masters 4
722 multiplying 1
723 spawn 1
724 flatter 7
725 thousand 20
726 venture 1
727 limbs 5
728 ears 20
729 lack 9
730 voice 7
731 utter 2
732 feebly 1
733 held 7
734 valour 5
735 chiefest 3
736 virtue 17
737 dignifies 1
738 haver 1
739 singly 1
740 counterpoised 1
741 sixteen 2
742 years 20
743 tarquin 2
744 beyond 3
745 mark 15
746 others 6
747 dictator 1
748 whom 27
749 praise 1
750 point 9
751 saw 14
752 amazonian 1
753 chin 1
754 drove 1
755 bristled 1
756 lips 10
757 bestrid 1
758 o'er-press 1
759 view 6
760 slew 6
761 three 17
762 opposers 1
763 self 7
764 knee 12
765 feats 1
766 might 36
767 act 8
768 woman 27
769 scene 5
770 proved 2
771 field 14
772 meed 2
773 brow-bound 1
774 oak 2
775 pupil 2
776 age 16
777 man-enter 1
778 waxed 1
779 sea 14
780 brunt 1
781 seventeen 2
782 battles 1
783 since 33
784 lurch 1
785 stopp 2
786 fliers 1
787 rare 3
788 example 2
789 coward 5
790 terror 4
791 into 29
792 sport 4
793 weeds 4
794 vessel 3
795 under 13
796 sail 7
797 obey'd 1
798 fell 5
799 stem 2
800 stamp 5
801 took 13
802 face 31
803 foot 17
804 whose 26
805 motion 4
806 timed 1
807 dying 1
808 cries 5
809 enter'd 1
810 mortal 10
811 gate 4
812 painted 3
813 shunless 1
814 destiny 4
815 aidless 1
816 sudden 5
817 reinforcement 1
818 planet 1
819 din 3
820 gan 1
821 pierce 7
822 ready 16
823 sense 8
824 straight 19
825 doubled 1
826 re-quicken 1
827 flesh 8
828 fatigate 1
829 battle 10
830 run 8
831 reeking 1
832 'twere 13
833 perpetual 3
834 spoil 2
835 call'd 2
836 ours 3
837 stood 7
838 ease 4
839 breast 10
840 panting 2
841 measure 6
842 devise 4
843 right 28
844 senate 3
845 pleased 4
846 owe 5
847 still 35
848 remains 2
849 voices 10
850 neither 12
851 bate 3
852 jot 4
853 ceremony 2
854 apart 3
855 blush 4
856 acting 1
857 taken 5
858 joy 21
859 perceive 6
860 intent 3
861 require 4
862 contemn 1
863 requested 1
864 ought 1
865 judge 11
866 wit 10
867 fly 15
868 content 16
869 upo 1
870 tongue 32
871 pace 3
872 'look 1
873 service 8
874 brethren 1
875 roar 6
876 ran 4
877 own 53
878 forget 11
879 virtues 1
880 divines 1
881 wash 4
882 faces 4
883 teeth 2
884 clean 2
885 brace 1
886 air 16
887 standing 5
888 desire 22
889 trouble 4
890 begging 1
891 third 18
892 gain 4
893 match 7
894 begged 1
895 alms 3
896 adieu 4
897 tune 5
898 customary 2
899 gown 3
900 enigma 1
901 fifth 1
902 friend 24
903 heartily 5
904 seal 4
905 knowledge 6
906 citizens 17
907 amen 12
908 change 3
909 garments 4
910 knowing 2
911 myself 44
912 repair 5
913 senate-house 1
914 fare 7
915 looks 20
916 methink 1
917 warm 5
918 wore 4
919 humble 4
920 dismiss 3
921 deserve 5
922 loves 10
923 fault 16
924 laboured 2
925 impediment 2
926 between 11
927 cast 4
928 election 2
929 done't 1
930 harp 3
931 putting 2
932 presently 7
933 drawn 7
934 repent 6
935 mutiny 1
936 hazard 3
937 past 10
938 greater 8
939 nature 22
940 fall 20
941 rage 10
942 refusal 1
943 observe 2
944 answer 29
945 vantage 5
946 anger 4
947 lord 218
948 caused 2
949 swifter 1
950 composition 1
951 worn 5
952 hardly 5
953 ages 1
954 banners 1
955 calm 7
956 purposed 1
957 grows 5
958 plot 3
959 curb 2
960 suffer't 1
961 live 49
962 rule 4
963 ruled 5
964 yond 2
965 clouds 8
966 fellow 14
967 tribune 2
968 corn 3
969 speech 11
970 speak't 1
971 nobler 1
972 friends 36
973 crave 8
974 pardons 1
975 mutable 1
976 rank-scented 1
977 regard 3
978 therein 5
979 behold 7
980 soothing 1
981 nourish 2
982 cockle 1
983 rebellion 3
984 insolence 2
985 sedition 1
986 ourselves 5
987 plough 2
988 sow 1
989 scatter 3
990 mingling 1
991 power 20
992 given 17
993 beggars 1
994 'shall 4
995 unwise 1
996 reckless 2
997 hydra 1
998 choose 5
999 peremptory 1
1000 horn 3
1001 wants 7
1002 current 7
1003 ditch 1
1004 channel 1
1005 vail 1
1006 ignorance 3
1007 awake 7
1008 dangerous 7
1009 lenity 2
1010 learn 13
1011 fools 4
1012 cushions 2
1013 less 22
1014 blended 1
1015 great'st 2
1016 taste 3
1017 palates 1
1018 theirs 5
1019 magistrate 2
1020 puts 6
1021 popular 1
1022 graver 2
1023 bench 2
1024 frown 8
1025 greece 1
1026 jove 3
1027 makes 19
1028 consuls 3
1029 base 3
1030 soul 32
1031 aches 2
1032 authorities 1
1033 supreme 2
1034 soon 16
1035 confusion 3
1036 enter 14
1037 'twixt 7
1038 gap 1
1039 over-measure 1
1040 attach 2
1041 traitorous 1
1042 innovator 1
1043 foe 14
1044 charge 18
1045 hence 39
1046 rotten 5
1047 shake 9
1048 bones 10
1049 help 24
1050 seize 8
1051 aediles 1
1052 & 1
1053 c 1
1054 weapons 3
1055 'tribunes 1
1056 'patricians 1
1057 'citizens 2
1058 'what 2
1059 ho 8
1060 'sicinius 1
1061 'brutus 1
1062 'coriolanus 1
1063 'peace 1
1064 peace 34
1065 'stay 1
1066 unbuild 1
1067 flat 2
1068 remain 5
1069 deserves 2
1070 beseech 18
1071 aedile 3
1072 among 4
1073 beheld 3
1074 fighting 1
1075 try 4
1076 seen 16
1077 down 39
1078 withdraw 5
1079 awhile 9
1080 gone 31
1081 naught 1
1082 else 36
1083 forbid 7
1084 prithee 15
1085 cure 5
1086 sore 3
1087 another 30
1088 fair 56
1089 ground 10
1090 forty 5
1091 comes't 1
1092 holp 2
1093 rescue 6
1094 disease 1
1095 cut 11
1096 kam 1
1097 pursue 4
1098 pluck 11
1099 thence 9
1100 lest 11
1101 infection 4
1102 catching 1
1103 spread 5
1104 muse 2
1105 mother 44
1106 approve 1
1107 wont 3
1108 woollen 1
1109 vassals 1
1110 created 2
1111 buy 14
1112 sell 5
1113 groats 1
1114 bare 3
1115 heads 10
1116 congregations 1
1117 yawn 1
1118 wonder 11
1119 ordinance 2
1120 talk 22
1121 milder 2
1122 false 15
1123 said 22
1124 stoop 5
1125 herd 2
1126 craves 3
1127 physic 1
1128 whole 2
1129 state 23
1130 armour 2
1131 scarcely 1
1132 do't 6
1133 same 9
1134 ends 4
1135 adopt 1
1136 policy 2
1137 companionship 1
1138 stands 9
1139 request 9
1140 son 86
1141 bonnet 1
1142 far 17
1143 stretch 3
1144 bussing 1
1145 stones 7
1146 eloquence 1
1147 eyes 55
1148 ignorant 5
1149 learned 2
1150 waving 1
1151 correcting 1
1152 stout 2
1153 ripest 1
1154 mulberry 1
1155 handling 1
1156 art 63
1157 bred 2
1158 broils 1
1159 soft 7
1160 dost 36
1161 confess 8
1162 claim 5
1163 wilt 30
1164 frame 4
1165 thyself 17
1166 forsooth 2
1167 although 5
1168 hadst 9
1169 fiery 3
1170 gulf 3
1171 bower 1
1172 going 5
1173 chide 8
1174 mountebank 1
1175 cog 1
1176 beloved 3
1177 trades 1
1178 commend 5
1179 return 17
1180 flattery 2
1181 catalogue 1
1182 procured 1
1183 set 28
1184 poll 1
1185 about 33
1186 choler 3
1187 used 3
1188 conquer 2
1189 worth 7
1190 contradiction 2
1191 chafed 2
1192 rein 1
1193 temperance 1
1194 speaks 5
1195 break 21
1196 neck 10
1197 scratches 1
1198 briers 1
1199 scars 3
1200 move 8
1201 laughter 2
1202 only 24
1203 pass 13
1204 full 20
1205 dishonour 4
1206 contrived 1
1207 season 5
1208 office 10
1209 wind 10
1210 tyrannical 1
1211 traitor 15
1212 rock 6
1213 served 5
1214 pronounce 5
1215 steep 2
1216 tarpeian 1
1217 vagabond 2
1218 exile 2
1219 raying 1
1220 pent 2
1221 linger 2
1222 price 2
1223 cheque 2
1224 courage 6
1225 have't 1
1226 saying 2
1227 'good 2
1228 morrow 4
1229 sentenced 4
1230 hearing 11
1231 banish 16
1232 hoo 2
1233 followed 1
1234 despite 3
1235 deserved 7
1236 vexation 2
1237 guard 4
1238 through 15
1239 brief 10
1240 beast 4
1241 butts 1
1242 ancient 12
1243 extremity 4
1244 trier 1
1245 spirits 2
1246 chances 2
1247 boats 1
1248 alike 5
1249 mastership 1
1250 floating 1
1251 fortune 24
1252 cunning 11
1253 load 3
1254 precepts 1
1255 invincible 1
1256 conn 1
1257 heavens 13
1258 whither 7
1259 determine 5
1260 wild 4
1261 exposture 1
1262 chance 5
1263 starts 1
1264 worthily 1
1265 ear 7
1266 weep 10
1267 seven 4
1268 legs 3
1269 i'ld 7
1270 strength 12
1271 baited 1
1272 wits 5
1273 forgot 7
1274 strange 11
1275 insurrections 1
1276 nobles 3
1277 banished 1
1278 serves 2
1279 fittest 1
1280 corrupt 4
1281 fallen 1
1282 husband 24
1283 tullus 3
1284 opposer 1
1285 royal 26
1286 centurions 1
1287 charges 4
1288 distinctly 1
1289 billeted 1
1290 already 13
1291 entertainment 2
1292 warning 1
1293 joyful 5
1294 readiness 4
1295 present 16
1296 company 9
1297 servingman 12
1298 whence 7
1299 place 22
1300 door 7
1301 porter 1
1302 gives 5
1303 entrance 2
1304 companions 2
1305 thou'rt 4
1306 troublesome 1
1307 hearth 1
1308 gentleman 35
1309 station 1
1310 avoid 3
1311 canopy 1
1312 knowest 1
1313 seeing 7
1314 necessity 2
1315 commands 3
1316 unmusical 1
1317 volscians 2
1318 harsh 3
1319 grim 3
1320 appearance 1
1321 bears 5
1322 tackle 1
1323 torn 2
1324 show'st 1
1325 weeded 1
1326 root 2
1327 envy 5
1328 jupiter 1
1329 cloud 2
1330 divine 2
1331 twine 1
1332 body 20
1333 grained 1
1334 ash 1
1335 hundred 6
1336 broke 9
1337 scarr 2
1338 splinters 1
1339 anvil 1
1340 contest 1
1341 hotly 1
1342 ambitious 2
1343 contend 1
1344 loved 13
1345 maid 21
1346 married 20
1347 sigh 5
1348 truer 2
1349 breath 16
1350 dances 2
1351 rapt 1
1352 wedded 3
1353 mistress 32
1354 bestride 3
1355 threshold 2
1356 mars 2
1357 hew 1
1358 target 1
1359 brawn 1
1360 fort 1
1361 twelve 8
1362 several 6
1363 nightly 1
1364 dreamt 1
1365 encounters 1
1366 sleep 19
1367 unbuckling 1
1368 helms 1
1369 fisting 1
1370 throat 4
1371 waked 3
1372 half 14
1373 dead 34
1374 nothing 41
1375 quarrel 9
1376 muster 3
1377 seventy 1
1378 pouring 1
1379 bowels 1
1380 ungrateful 1
1381 bold 11
1382 flood 5
1383 o'er-bear 1
1384 friendly 4
1385 hands 32
1386 taking 3
1387 prepared 2
1388 territories 3
1389 itself 10
1390 strucken 2
1391 cudgel 1
1392 mind 16
1393 gave 15
1394 clothes 2
1395 simply 1
1396 rarest 1
1397 master 38
1398 six 3
1399 partake 2
1400 to-morrow 23
1401 to-day 11
1402 parcel 1
1403 executed 2
1404 wipe 2
1405 god-den 3
1406 neighbours 3
1407 happier 1
1408 comely 1
1409 streets 1
1410 crying 2
1411 prevented 2
1412 sits 6
1413 safe 8
1414 without 19
1415 prison 12
1416 reports 1
1417 powers 4
1418 deepest 1
1419 malice 3
1420 destroy 5
1421 yes 12
1422 seconded 1
1423 fearful 14
1424 likely 3
1425 leads 3
1426 deity 2
1427 shapes 2
1428 brats 1
1429 confidence 2
1430 boys 3
1431 pursuing 1
1432 summer 5
1433 butterflies 1
1434 butchers 2
1435 killing 1
1436 flies 4
1437 apron-men 1
1438 occupation 2
1439 garlic-eaters 1
1440 hercules 2
1441 mellow 2
1442 fruit 2
1443 brought 18
1444 beasts 3
1445 cowardly 2
1446 unto 40
1447 clusters 1
1448 hoot 1
1449 obeys 1
1450 points 4
1451 desperation 1
1452 defence 2
1453 faith 18
1454 re 1
1455 goodly 6
1456 cry 12
1457 i. 4
1458 lieutenant 3
1459 witchcraft 1
1460 soldiers 10
1461 grace 40
1462 'fore 1
1463 meat 4
1464 table 3
1465 darken 2
1466 mean 22
1467 particular 4
1468 join 6
1469 commission 2
1470 either 13
1471 borne 6
1472 left 17
1473 solely 1
1474 understand 7
1475 sure 13
1476 account 8
1477 knows 14
1478 urge 3
1479 seems 9
1480 thinks 5
1481 apparent 5
1482 vulgar 1
1483 eye 21
1484 fairly 5
1485 husbandry 1
1486 volscian 2
1487 fights 4
1488 dragon-like 1
1489 achieve 3
1490 undone 3
1491 whene'er 1
1492 carry 7
1493 sometime 4
1494 dear 28
1495 father 102
1496 coy'd 1
1497 child 22
1498 grains 1
1499 chaff 2
1500 smelt 1
1501 above 9
1502 burnt 1
1503 trial 4
1504 towards 8
1505 road 1
1506 kindness 9
1507 lots 1
1508 blanks 1
1509 touch 11
1510 passable 1
1511 behalf 2
1512 uttered 1
1513 virtuous 10
1514 chastely 1
1515 spell 2
1516 shent 1
1517 keeping 1
1518 greatness 1
1519 care 16
1520 scarce 6
1521 slight 1
1522 fears 3
1523 worst 5
1524 long 38
1525 misery 6
1526 increase 4
1527 walls 5
1528 tomorrow 2
1529 partner 2
1530 lords 44
1531 plainly 2
1532 sirrah 18
1533 boy 21
1534 grant 10
1535 fail 4
1536 blame 2
1537 hardness 1
1538 we'll 1
1539 nought 1
1540 private 3
1541 ope 3
1542 unnatural 3
1543 laugh 2
1544 happy 14
1545 victory 7
1546 dangerously 2
1547 prevail 5
1548 convenient 1
1549 stead 3
1550 granted 6
1551 little 36
1552 sweat 4
1553 compassion 2
1554 advise 2
1555 possible 3
1556 displace 1
1557 finger 3
1558 throats 2
1559 differency 1
1560 grub 2
1561 butterfly 2
1562 grown 2
1563 dragon 1
1564 wings 4
1565 creeping 3
1566 remembers 1
1567 eight-year-old 1
1568 tartness 1
1569 sours 1
1570 ripe 2
1571 grapes 2
1572 walks 1
1573 moves 2
1574 engine 2
1575 shrinks 1
1576 treading 1
1577 corslet 1
1578 talks 2
1579 knell 2
1580 hum 1
1581 battery 2
1582 alexander 1
1583 bids 5
1584 finished 1
1585 bidding 2
1586 eternity 1
1587 heaven 46
1588 throne 12
1589 dislodged 1
1590 merrier 1
1591 greet 5
1592 expulsion 1
1593 tarquins 1
1594 land 21
1595 morning 7
1596 ten 9
1597 doit 1
1598 paper 3
1599 read 16
1600 market 1
1601 commons 4
1602 vouch 1
1603 accuse 5
1604 ports 1
1605 intends 2
1606 hoping 2
1607 purge 4
1608 herself 7
1609 dispatch 8
1610 empoison 1
1611 charity 9
1612 slain 14
1613 pretext 1
1614 strike 13
1615 admits 1
1616 construction 1
1617 raised 4
1618 pawn'd 1
1619 heighten 1
1620 water 11
1621 new 18
1622 plants 2
1623 dews 1
1624 seducing 1
1625 bow 6
1626 rough 5
1627 unswayable 1
1628 free 13
1629 conspirator 1
1630 stoutness 1
1631 lost 20
1632 stooping 1
1633 hail 2
1634 infected 4
1635 parted 3
1636 subsisting 1
1637 prosperously 1
1638 attempted 1
1639 bloody 9
1640 passage 4
1641 led 5
1642 spoils 1
1643 counterpoise 1
1644 romans 1
1645 subscribed 1
1646 compounded 1
1647 robbery 2
1648 stol'n 2
1649 perfidiously 1
1650 betray 5
1651 drops 2
1652 salt 2
1653 'your 1
1654 breaking 2
1655 oath 18
1656 resolution 6
1657 twist 1
1658 silk 2
1659 admitting 1
1660 counsel 11
1661 nurse 50
1662 whined 1
1663 pages 1
1664 wondering 1
1665 hear'st 1
1666 'tear 1
1667 pieces 3
1668 'do 1
1669 'he 4
1670 kill'd 2
1671 'my 2
1672 daughter 56
1673 killed 3
1674 cousin 37
1675 marcus 1
1676 aufidiuses 1
1677 tribe 1
1678 lawful 9
1679 impatience 1
1680 takes 5
1681 clarence 36
1682 majesty 18
1683 tendering 2
1684 safety 5
1685 appointed 4
1686 conduct 2
1687 convey 4
1688 tower 10
1689 gloucester 77
1690 humbly 4
1691 complaining 1
1692 chamberlain 2
1693 liberty 7
1694 favour 6
1695 king 288
1696 wear 14
1697 livery 5
1698 jealous 2
1699 o'erworn 1
1700 widow 11
1701 brother 60
1702 dubb 1
1703 gentlewomen 1
1704 mighty 12
1705 gossips 3
1706 monarchy 2
1707 brakenbury 7
1708 graces 2
1709 straitly 2
1710 conference 4
1711 degree 3
1712 soever 1
1713 withal 12
1714 forbear 6
1715 duke 143
1716 tread 4
1717 path 2
1718 shalt 23
1719 simple 6
1720 plain 10
1721 shortly 4
1722 send 13
1723 new-deliver 2
1724 hastings 30
1725 gracious 24
1726 open 13
1727 lordship 6
1728 brook 3
1729 imprisonment 2
1730 abroad 4
1731 anne 16
1732 honourable 3
1733 shrouded 1
1734 hearse 1
1735 whilst 10
1736 obsequiously 1
1737 lament 6
1738 untimely 7
1739 lancaster 14
1740 key-cold 1
1741 figure 2
1742 holy 17
1743 pale 13
1744 ashes 2
1745 bloodless 1
1746 remnant 1
1747 invocate 1
1748 ghost 8
1749 lamentations 1
1750 edward 98
1751 slaughter 10
1752 stabb 5
1753 selfsame 2
1754 lo 5
1755 windows 1
1756 pour 2
1757 helpless 1
1758 balm 2
1759 cursed 7
1760 fatal 7
1761 holes 1
1762 direful 3
1763 hap 2
1764 betide 2
1765 hated 2
1766 wretch 8
1767 wretched 7
1768 adders 1
1769 spiders 2
1770 toads 1
1771 venom 3
1772 abortive 1
1773 prodigious 1
1774 light 11
1775 ugly 2
1776 aspect 2
1777 fright 3
1778 hopeful 1
1779 heir 12
1780 unhappiness 1
1781 miserable 8
1782 chertsey 2
1783 paul 1
1784 interred 1
1785 weary 7
1786 weight 6
1787 whiles 6
1788 henry 91
1789 corse 5
1790 black 7
1791 magician 1
1792 conjures 1
1793 fiend 4
1794 stop 1
1795 devoted 2
1796 charitable 1
1797 coffin 1
1798 saint 10
1799 curst 3
